Target,Model,Family,Input_Block,Benchmark_Source,Primary_Metric,Mean_Primary,Std_Primary,Method_Group
Tg,Graph_GINE_Fusion_attention_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.857045779455796,0.0235280621691743,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_weighted_sum_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8570449334751122,0.0227415010741359,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_weighted_sum_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8569761458954327,0.027485879896724,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_gated_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8569498908383297,0.0276848854647435,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_film_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8568067341217785,0.0248077761650322,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_concat_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8563171044612752,0.0279842630945174,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_gated_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8558243067309839,0.0214521821516646,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_gated_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8557472459733878,0.0218960987993491,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_attention_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.855702500085005,0.0275532867665486,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_weighted_sum_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8555234585544864,0.0304118227539335,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_film_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8555159115570005,0.0167200198150649,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_attention_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8551888246530034,0.0233172373220651,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_film_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8551760683801788,0.020813623463289,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_film_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8550267147096854,0.0220332506192788,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_gated_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8548811394270114,0.0287951433136922,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_gated_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8545657900378757,0.0292990309824364,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_concat_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.854309422750888,0.0235442142502625,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_film_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8543007421150307,0.027835312391258,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_gated_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8540334106957138,0.0355499909461496,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8538396642812298,0.0306285155576584,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_concat_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8537138183486075,0.0191784507676044,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_film_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8532795830942022,0.0314134302193838,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_attention_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8530465478604409,0.0264043926462754,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_weighted_sum_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8521507752651377,0.0215817311661479,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_gated_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8502767855009061,0.0294742915640892,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_weighted_sum,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8449153174437489,0.038827219548042,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_weighted_sum,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8435351392911125,0.0192545620257488,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_weighted_sum,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8401862731008286,0.0266512740403563,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_weighted_sum,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8389567797051811,0.0454753570958629,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_concat,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8384321288918697,0.0360442456492477,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_concat,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.837890816366388,0.0260665211868345,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_film,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8370990887400552,0.024131446040868,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_film,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8350146583422757,0.0333168937456737,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_concat,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8329103780981357,0.0257955031574644,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_attention,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8281045879469409,0.030262573561207,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_film,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8248534683824102,0.0450309181036991,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_film,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8246520337007226,0.0415475704780574,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_concat,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8245905889782204,0.0385140095407958,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_weighted_sum,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8216279876064274,0.0384820682199185,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_film,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8204890108664286,0.0420415045277352,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_attention,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.816788827856388,0.0341659503588806,GraphDescriptor_Fusion
